Time,POST_requests,K6 VUs,GET_brands_response,GET_types_response,POST_response
2025-01-01 00:00:00,272,8,1.17,8.21,11.5
2025-01-01 00:00:15,746,20,1.17,8.21,38.2
2025-01-01 00:00:30,1309,32,1.17,8.21,70.6
2025-01-01 00:00:45,1938,45,1.17,8.21,68.5
2025-01-01 00:01:00,2343,50,1.17,8.21,65.7
2025-01-01 00:01:15,2515,50,1.17,8.21,67.0
2025-01-01 00:01:30,2596,50,1.17,8.21,70.9
2025-01-01 00:01:45,2620,50,1.17,8.21,71.6
2025-01-01 00:02:00,2615,57,1.17,8.21,75.4
2025-01-01 00:02:15,2656,69,1.17,8.21,77.6
2025-01-01 00:02:30,2700,82,1.17,8.21,77.6
2025-01-01 00:02:45,2727,94,1.17,8.21,78.4
2025-01-01 00:03:00,2129,100,1.17,8.21,81.2
2025-01-01 00:03:15,1520,100,1.17,8.21,83.7
2025-01-01 00:03:30,853,100,1.17,8.21,86.9
2025-01-01 00:03:45,445,100,1.17,8.21,95.5
2025-01-01 00:04:00,463,114,1.17,8.21,101
2025-01-01 00:04:15,477,139,1.17,8.21,148
2025-01-01 00:04:30,496,164,1.17,8.21,200
2025-01-01 00:04:45,509,189,1.17,8.21,254
2025-01-01 00:05:00,524,200,,,300
2025-01-01 00:05:15,510,200,,,348
2025-01-01 00:05:30,485,200,,,381
2025-01-01 00:05:45,467,200,,,399
2025-01-01 00:06:00,466,229,,,401
2025-01-01 00:06:15,486,279,,,448
2025-01-01 00:06:30,496,329,,,496
2025-01-01 00:06:45,502,379,,,503
2025-01-01 00:07:00,501,400,,,554
2025-01-01 00:07:15,498,400,,,601
2025-01-01 00:07:30,488,400,,,650
2025-01-01 00:07:45,487,400,,,699
2025-01-01 00:08:00,496,429,,,704
2025-01-01 00:08:15,491,479,,,795
2025-01-01 00:08:30,494,529,,,819
2025-01-01 00:08:45,484,579,,,898
2025-01-01 00:09:00,475,600,,,951
2025-01-01 00:09:15,464,600,,,1002
2025-01-01 00:09:30,476,600,,,1083
2025-01-01 00:09:45,472,600,,,1103
2025-01-01 00:10:00,484,427,,,1130
2025-01-01 00:10:15,476,127,,,1125
